ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,WP,VMPP,IMPP,VOC,ISC,SOLAR_CELLS,CELL_TYPE,SURFACE_TYPE,COEF_PMAX,COEF_VOC,COEF_ISC,ACTIVE
75,RSM156-6-440M,12,2178.0,996.0,40.0,25.5,440,43.8,10.06,52.62,10.67,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
76,RSM156-6-445M,12,2178.0,996.0,40.0,25.5,445,43.9,10.15,52.7,10.77,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
77,SS-535-72MDH,13,2279.0,1134.0,35.0,27.6,535,40.66,13.16,49.34,13.79,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
78,SS-540-72MDH,13,2279.0,1134.0,35.0,27.6,540,40.71,13.27,49.42,13.85,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
79,SS-545-72MDH,13,2279.0,1134.0,35.0,27.6,545,40.76,13.38,49.51,13.94,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
80,SS-550-72MDH,13,2279.0,1134.0,35.0,27.6,550,40.83,13.48,49.6,14.04,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
81,TSM-430DE17M.TO(II),15,2102.0,1040.0,35.0,24.0,430,38.0,8.56,46.0,9.03,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.04,0
82,TSM-435DE17M.TO(II),15,2102.0,1040.0,35.0,24.0,435,38.2,8.61,46.3,9.11,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.04,0
83,TSM-440DE17M.TO(II),15,2102.0,1040.0,35.0,24.0,440,38.4,8.68,46.4,9.17,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.04,0
84,TSM-445DE17M.TO(II),15,2102.0,1040.0,35.0,24.0,445,38.5,8.73,46.6,9.23,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.04,0
85,TSM-450DE17M.TO(II),15,2102.0,1040.0,35.0,24.0,450,38.7,8.8,46.8,9.28,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.04,0
86,TP7F72M(H)-530,14,2286.0,1135.0,35.0,29.0,530,40.8,13.0,49.0,13.76,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.043,0
87,TP7F72M(H)-535,14,2286.0,1135.0,35.0,29.0,535,41.0,13.05,49.2,13.81,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.043,0
88,TP7F72M(H)-540,14,2286.0,1135.0,35.0,29.0,540,41.2,13.11,49.4,13.87,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.043,0
89,TP7F72M(H)-545,14,2286.0,1135.0,35.0,29.0,545,41.4,13.17,49.6,13.93,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.043,0
90,TP7F72M(H)-550,14,2286.0,1135.0,35.0,29.0,550,41.6,13.23,49.8,13.99,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.36,-0.26,0.043,0
91,TSM-585DEG20C.20,15,2172.0,1303.0,33.0,34.9,585,34.0,17.21,41.1,18.26,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
92,TSM-590DEG20C.20,15,2172.0,1303.0,33.0,34.9,590,34.2,17.25,41.3,18.31,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
93,TSM-595DEG20C.20,15,2172.0,1303.0,33.0,34.9,595,34.4,17.3,41.5,18.36,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
94,TSM-600DEG20C.20,15,2172.0,1303.0,33.0,34.9,600,34.6,17.34,41.7,18.42,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
95,TSM-605DEG20C.20,15,2172.0,1303.0,33.0,34.9,605,34.8,17.39,41.9,18.48,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
96,WPV 550 HMM3,1,2278.0,1134.0,30.0,27.3,550,41.96,13.11,49.9,14.0,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,1
97,LR5-72HPH-525M,11,2256.0,1133.0,35.0,27.2,525,41.2,12.75,49.05,13.65,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
98,LR5-72HPH-530M,11,2256.0,1133.0,35.0,27.2,530,41.35,12.82,49.2,13.71,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
99,LR5-72HPH-535M,11,2256.0,1133.0,35.0,27.2,535,41.5,12.9,49.35,13.78,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
100,LR5-72HPH-540M,11,2256.0,1133.0,35.0,27.2,540,41.65,12.97,49.5,13.85,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
101,LR5-72HPH-545M,11,2256.0,1133.0,35.0,27.2,545,41.8,13.04,49.65,13.92,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
102,LR5-72HPH-550M,11,2256.0,1133.0,35.0,27.2,550,41.95,13.12,49.8,13.98,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,0
103,LR5-72HPH-555M,11,2256.0,1133.0,35.0,27.2,555,42.1,13.19,49.95,14.04,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.048,1
104,JKM555M-72HL4,10,2278.0,1134.0,30.0,27.0,555,40.99,13.54,49.72,14.12,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.28,0.048,1
105,CHSM78N(DG)/F-BH-630,6,2465.0,1134.0,30.0,34.7,630,46.45,13.56,56.21,14.19,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.29,-0.25,0.043,0
